birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
1971,"Wed, 27 Sep 2017 14:21:48 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1371,"$50,000 through $74,999",Single,1371,Other,White/European origin,United States,PRE
1971,"Sat, 29 Sep 2018 09:23:25 -0500",Some College,Other,Not Hispanic or Latino,Female,1855,"$12,000 through $15,999",Divorced,1855,Link from education site,White/European origin,United States,PRE
1972,"Sun, 12 Feb 2017 00:23:15 -0500",Some College,Other,Not Hispanic or Latino,Female,1108,"$50,000 through $74,999",Married,1108,Just surfing the web,White/European origin,United States,PRE
1972,"Wed, 11 Jul 2018 11:05:59 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1722,"$250,000 or greater",Married,1722,Link from education site,White/European origin,United States,PRE
1972,"Sun, 06 Nov 2016 18:51:25 -0500",,,,Female,984,,,984,,,,PRE
1972,"Mon, 07 Nov 2016 21:22:10 -0500",M.B.A.,Working full-time,Not Hispanic or Latino,Male,986,"$150,000 through $199,999",Married,986,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1972,"Thu, 10 Nov 2016 09:24:52 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,992,"$250,000 or greater",Married,992,News story,White/European origin,United States,PRE
1972,"Sun, 13 Nov 2016 17:06:54 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1001,"$25,000 through $34,999",Divorced,1001,Link from education site,White/European origin,United States,PRE
1972,"Fri, 07 Oct 2016 20:31:57 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,831,"$50,000 through $74,999",Married,831,Link from education site,White/European origin,United States,PRE
1972,"Wed, 10 Oct 2018 11:07:49 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1872,"$35,000 through $49,999",Married,1872,Planned search for information related to this topic,White/European origin,United Kingdom,PRE
1972,"Sat, 14 Oct 2017 18:29:20 -0500",Some College,Other,Not Hispanic or Latino,Male,1389,Prefer not to answer,Other,1389,Other,White/European origin,United States,PRE
1972,"Fri, 16 Sep 2016 10:26:20 -0500",Master's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,664,"$25,000 through $34,999",Single,664,News story,White/European origin,United States,PRE
1972,"Fri, 16 Sep 2016 10:48:10 -0500",Some Graduate School,Unemployed or laid off,Not Hispanic or Latino,Male,665,"Less than $5,000",Single,665,Other,Black/African origin,United States,PRE
1973,"Sat, 15 Apr 2017 07:57:30 -0500",J.D.,Working full-time,Not Hispanic or Latino,Female,1181,"$250,000 or greater",Separated,1181,Link from education site,White/European origin,United States,PRE
1973,"Tue, 11 Dec 2018 13:51:26 -0500",Some College,Working part-time,Prefer not to answer,Female,1947,"$50,000 through $74,999",Divorced,1947,Link from education site,Prefer not to answer,United States,PRE
1973,"Fri, 26 Jan 2018 10:29:47 -0500",Some College,Working full-time,Prefer not to answer,Female,1503,"$100,000 through $149,999","Single, but currently living with someone in a marriage-like relationship",1503,Recommendation of teacher,White/European origin,Canada,PRE
1973,"Tue, 12 Jul 2016 13:26:08 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Male,509,"$5,000 through $11,999",Single,509,Craigslist Ad,White/European origin,United States,PRE
1973,"Sun, 30 Jul 2017 23:22:59 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,1299,"$12,000 through $15,999",Divorced,1299,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1973,"Mon, 16 May 2016 14:01:18 -0500",Master's Degree,Looking for work,Not Hispanic or Latino,Female,15,"$12,000 through $15,999","Single, but casually dating",15,Just surfing the web,South Asian,United States,PRE
1973,"Wed, 04 Oct 2017 17:03:36 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1381,"$25,000 through $34,999",Single,1381,Planned search for this topic in particular,East Asian,United Kingdom,PRE
1973,"Fri, 07 Oct 2016 13:35:59 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,829,"$75,000 through $99,999",Married,829,Planned search for this topic in particular,White/European origin,Canada,PRE
1973,"Wed, 19 Oct 2016 09:13:51 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,863,"$35,000 through $49,999",Single,863,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1973,"Thu, 20 Oct 2016 07:54:14 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,894,"$150,000 through $199,999",Married,894,News story,White/European origin,United States,PRE
1973,"Sat, 21 Oct 2017 21:35:13 -0500",Some College,Working full-time,Prefer not to answer,Female,1396,Prefer not to answer,Married,1396,Just surfing the web,White/European origin,United States,PRE
1973,"Thu, 15 Sep 2016 19:17:47 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Female,631,Prefer not to answer,Married,631,Facebook post,White/European origin,Canada,PRE
1973,"Sun, 16 Sep 2018 15:02:59 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Male,1833,Prefer not to answer,Married,1833,Planned search for information related to this topic,East Asian,Sweden,PRE
1973,"Sun, 18 Sep 2016 17:19:54 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,732,"$35,000 through $49,999",Divorced,732,News story,White/European origin,United States,PRE
1973,"Tue, 19 Sep 2017 06:32:32 -0500",Some College,Student,Not Hispanic or Latino,Female,1353,"$75,000 through $99,999",Married,1353,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,Canada,PRE
1973,"Fri, 23 Sep 2016 22:17:36 -0500",Some College,Prefer not to answer,Prefer not to answer,Female,785,"$5,000 through $11,999",Prefer not to answer,785,Facebook post,Prefer not to answer,United States,PRE
1974,"Mon, 01 Jan 2018 22:47:48 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1468,"$50,000 through $74,999",Married,1468,News story,White/European origin,Canada,PRE
1974,"Thu, 14 Jul 2016 09:09:05 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,512,"$75,000 through $99,999",Married,512,Planned search for information related to this topic,White/European origin,United States,PRE
1974,"Wed, 08 Mar 2017 11:24:52 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1136,"$250,000 or greater",Married,1136,Recommendation of employer,White/European origin,Canada,PRE
1974,"Sun, 18 Mar 2018 13:45:18 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1607,"$100,000 through $149,999",Married,1607,Facebook post,Prefer not to answer,Switzerland,PRE
1974,"Wed, 04 Oct 2017 10:28:27 -0500",Some College,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1380,"Less than $5,000","Single, but casually dating",1380,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1974,"Sat, 13 Oct 2018 13:05:17 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1877,"$75,000 through $99,999",Married,1877,Link from education site,White/European origin,United States,PRE
1974,"Tue, 25 Oct 2016 13:37:23 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Female,946,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",946,News story,White/European origin,United States,PRE
1974,"Fri, 14 Sep 2018 09:04:54 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1824,"$75,000 through $99,999",Married,1824,Other,White/European origin,United States,PRE
1974,"Mon, 17 Sep 2018 14:23:25 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1839,"$150,000 through $199,999",Married,1839,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,Canada,PRE
1974,"Sun, 18 Sep 2016 13:54:15 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,729,"$75,000 through $99,999",Married,729,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1974,"Mon, 26 Sep 2016 14:44:56 -0500",M.B.A.,Working full-time,Not Hispanic or Latino,Female,799,"$250,000 or greater","Single, but currently living with someone in a marriage-like relationship",799,News story,White/European origin,United States,PRE
1975,"Tue, 07 Feb 2017 11:58:01 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1097,"$50,000 through $74,999",Married,1097,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1975,"Wed, 09 Jan 2019 06:02:40 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1961,"$16,000 through $24,999","Single, but casually dating",1961,Planned search for this topic in particular,White/European origin,Spain,PRE
1975,"Sat, 16 Jul 2016 03:36:28 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,516,"$16,000 through $24,999","Single, but casually dating",516,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1975,"Thu, 20 Jul 2017 20:36:35 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1265,"$100,000 through $149,999",Married,1265,Link from education site,South Asian,Singapore,PRE
1975,"Sun, 18 Jun 2017 14:57:11 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1236,"$50,000 through $74,999","Single, but currently engaged to be married",1236,Link from education site,White/European origin,United States,PRE
1975,"Sat, 03 Mar 2018 11:19:38 -0500",Some Graduate School,Unemployed or laid off,Not Hispanic or Latino,Female,1576,"$100,000 through $149,999",Married,1576,Other,White/European origin,United States,PRE
1975,"Thu, 01 Nov 2018 13:40:34 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1905,"$200,000 through $249,999",Married,1905,Link from education site,East Asian,United States,PRE
1975,"Mon, 07 Nov 2016 08:58:24 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,985,"$75,000 through $99,999",Single,985,Other,White/European origin,United States,PRE
1975,"Tue, 14 Nov 2017 14:47:56 -0500",Some College,Student,Not Hispanic or Latino,Male,1419,"$5,000 through $11,999",Married,1419,Link from education site,White/European origin,United States,PRE
1975,"Tue, 21 Nov 2017 11:04:50 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,1422,"$25,000 through $34,999",Single,1422,"Link from blog, chat, or discussion thread",White/European origin,United Kingdom,PRE
1975,"Thu, 20 Oct 2016 10:41:39 -0500",Bachelor's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,854,Prefer not to answer,Married,854,News story,White/European origin,United States,PRE
1975,"Tue, 23 Oct 2018 21:05:44 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1895,"$75,000 through $99,999",Single,1895,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,Malaysia,PRE
1975,"Thu, 01 Sep 2016 09:53:48 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,608,"$100,000 through $149,999",Single,608,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1975,"Fri, 16 Sep 2016 06:04:03 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,636,"$100,000 through $149,999",Other,636,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,Canada,PRE
1975,"Fri, 16 Sep 2016 10:51:37 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,666,Prefer not to answer,Married,666,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1975,"Fri, 16 Sep 2016 16:49:57 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,686,"$25,000 through $34,999",Divorced,686,News story,White/European origin,United States,PRE
1975,"Fri, 16 Sep 2016 18:45:15 -0500",Bachelor's Degree,Working part-time,Unknown,Female,692,"$16,000 through $24,999",Single,692,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1975,"Mon, 19 Sep 2016 11:59:22 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,750,"$100,000 through $149,999",In a domestic or civil union,750,"Recommendation of friend, family , acquaintance, or colleague",South Asian,Canada,PRE
1975,"Fri, 22 Sep 2017 11:28:20 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1357,"$75,000 through $99,999",Married,1357,Link from education site,White/European origin,United States,PRE
1976,"Fri, 12 Aug 2016 16:04:53 -0500",Some College,Unemployed or laid off,Not Hispanic or Latino,Female,542,"$16,000 through $24,999",Single,542,Advertisement from other sources,White/European origin,United States,PRE
1976,"Tue, 23 Aug 2016 19:38:06 -0500",Prefer not to answer,Working full-time,Not Hispanic or Latino,Male,558,Prefer not to answer,Prefer not to answer,558,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1976,"Mon, 29 Aug 2016 20:52:30 -0500",M.D.,Working part-time,Not Hispanic or Latino,Female,603,"$50,000 through $74,999",Married,603,Advertisement from other sources,East Asian,"Korea, Republic of",PRE
1976,"Thu, 01 Dec 2016 18:04:10 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1035,"$75,000 through $99,999",Married,1035,Craigslist Ad,White/European origin,United States,PRE
1976,"Sat, 23 Dec 2017 18:10:15 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1459,"$100,000 through $149,999",Married,1459,Facebook post,East Asian,United States,PRE
1976,"Thu, 01 Feb 2018 17:12:22 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1508,"$100,000 through $149,999",Married,1508,News story,White/European origin,United States,PRE
1976,"Mon, 04 Jun 2018 19:03:38 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1696,"$35,000 through $49,999",Married,1696,Just surfing the web,White/European origin,United States,PRE
1976,"Sat, 10 Jun 2017 09:56:14 -0500",Master's Degree,Working part-time,Unknown,Male,1231,"$25,000 through $34,999",Married,1231,Just surfing the web,White/European origin,United Kingdom,PRE
1976,"Fri, 10 Jun 2016 00:50:11 -0500",Master's Degree,Other,Hispanic or Latino,Female,423,"$35,000 through $49,999",Single,423,News story,White/European origin,United States,PRE
1976,"Tue, 06 Mar 2018 09:54:19 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1586,"$50,000 through $74,999",Married,1586,Planned search for this topic in particular,Black/African origin,"Tanzania, United Republic of",PRE
1976,"Sat, 17 Mar 2018 09:57:52 -0500",Some College,Unemployed or laid off,Not Hispanic or Latino,Male,1603,"Less than $5,000","Single, but currently living with someone in a marriage-like relationship",1603,Planned search for this topic in particular,White/European origin,Italy,PRE
1976,"Sun, 15 May 2016 09:29:37 -0500",M.D.,Working full-time,Not Hispanic or Latino,Male,13,"$150,000 through $199,999",Single,13,Link from education site,White/European origin,United States,PRE
1976,"Mon, 16 May 2016 15:28:38 -0500",High School Graduate,Unemployed or laid off,Unknown,Female,18,"Less than $5,000","Single, but currently living with someone in a marriage-like relationship",18,Just surfing the web,Black/African origin,United States,PRE
1976,"Tue, 30 May 2017 21:00:54 -0500",Other Advanced Degree,Working full-time,Not Hispanic or Latino,Female,883,"$150,000 through $199,999",Married,883,Link from education site,White/European origin,United States,PRE
1976,"Fri, 28 Oct 2016 08:57:46 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,958,"$100,000 through $149,999","Single, but currently living with someone in a marriage-like relationship",958,Planned search for information related to this topic,Other or Unknown,France,PRE
1976,"Sat, 10 Sep 2016 14:59:40 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,623,"$50,000 through $74,999",Married,623,Other,White/European origin,United States,PRE
1976,"Mon, 10 Sep 2018 20:02:28 -0500",Other Advanced Degree,Working part-time,,Male,1814,"$35,000 through $49,999",Single,1814,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1976,"Sun, 25 Sep 2016 19:20:25 -0500",Associate's Degree,Other,Unknown,Other,795,Prefer not to answer,Widow/widower,795,Craigslist Ad,Other or Unknown,United States,PRE
1977,"Thu, 13 Apr 2017 19:22:49 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1179,Prefer not to answer,Married,1179,Planned search for this topic in particular,White/European origin,United States,PRE
1977,"Mon, 17 Apr 2017 17:33:05 -0500",Associate's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1186,"$12,000 through $15,999",Prefer not to answer,1186,Link from education site,Black/African origin,United States,PRE
1977,"Thu, 25 Aug 2016 12:10:32 -0500",Master's Degree,Unemployed or laid off,Hispanic or Latino,Male,590,"$250,000 or greater",Married,590,"Recommendation of health professional (e.g., therapist or general practitioner)",Other or Unknown,United States,PRE
1977,"Thu, 01 Dec 2016 23:01:22 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,1036,"$50,000 through $74,999",Single,1036,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1977,"Sat, 31 Dec 2016 18:38:05 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1061,"$35,000 through $49,999",Single,1061,Just surfing the web,Black/African origin,United States,PRE
1977,"Tue, 02 Jan 2018 18:02:09 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1469,Prefer not to answer,Married,1469,Recommendation of employer,South Asian,United States,PRE
1977,"Thu, 03 Jan 2019 02:08:22 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1958,"$35,000 through $49,999",Married,1958,Other,South Asian,India,PRE
1977,"Wed, 06 Jul 2016 09:49:12 -0500",Some College,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,499,"$25,000 through $34,999",Widow/widower,499,Craigslist Ad,White/European origin,Algeria,PRE
1977,"Tue, 06 Jun 2017 21:46:04 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1227,"$150,000 through $199,999",Single,1227,Just surfing the web,White/European origin,United States,PRE
1977,"Wed, 08 Jun 2016 22:09:36 -0500",Some High School,Working part-time,Not Hispanic or Latino,Female,421,"$25,000 through $34,999",Single,421,News story,Native Hawaiian/Pacific Islander,New Zealand,PRE
1977,"Sat, 16 Jun 2018 13:14:37 -0500",Bachelor's Degree,Student,Hispanic or Latino,Female,1704,"$12,000 through $15,999",Separated,1704,Recommendation of teacher,White/European origin,United States,PRE
1977,"Wed, 22 Jun 2016 08:46:25 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,460,"$25,000 through $34,999",Divorced,460,Just surfing the web,White/European origin,United States,PRE
1977,"Mon, 27 Jun 2016 17:56:36 -0500",Some Graduate School,Unemployed or laid off,Not Hispanic or Latino,Female,469,Don't know,Single,469,Craigslist Ad,White/European origin,United States,PRE
1977,"Mon, 27 Jun 2016 23:48:10 -0500",Other Advanced Degree,Other,Prefer not to answer,Female,473,Prefer not to answer,"Single, but casually dating",473,Craigslist Ad,White/European origin,United States,PRE
1977,"Mon, 05 Mar 2018 15:20:33 -0500",Bachelor's Degree,Looking for work,Hispanic or Latino,Female,1584,Don't know,Divorced,1584,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,United States,PRE
1977,"Mon, 27 Mar 2017 10:02:45 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1156,"$50,000 through $74,999",Single,1156,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,United States,PRE
1977,"Mon, 22 May 2017 18:15:30 -0500",Bachelor's Degree,Prefer not to answer,Not Hispanic or Latino,Female,1203,Prefer not to answer,Prefer not to answer,1203,Other,White/European origin,United States,PRE
1977,"Wed, 28 Nov 2018 04:49:21 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1931,Prefer not to answer,"Single, but currently living with someone in a marriage-like relationship",1931,Recommendation of employer,White/European origin,United Kingdom,PRE
1977,"Fri, 06 Oct 2017 03:12:51 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1385,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",1385,Just surfing the web,White/European origin,Ireland,PRE
1977,"Thu, 20 Oct 2016 19:16:14 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,919,"$75,000 through $99,999",Married,919,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1977,"Mon, 22 Oct 2018 10:00:52 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1893,"$200,000 through $249,999",Married,1893,Other,White/European origin,United States,PRE
1977,"Mon, 24 Oct 2016 09:40:21 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,939,Prefer not to answer,Married,939,News story,White/European origin,United States,PRE
1977,"Sun, 30 Oct 2016 23:56:36 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,968,"$50,000 through $74,999",Married,968,Advertisement from other sources,White/European origin,United States,PRE
1977,"Wed, 31 Oct 2018 07:34:32 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1903,"$5,000 through $11,999","Single, but currently living with someone in a marriage-like relationship",1903,Facebook post,White/European origin,Netherlands,PRE
1977,"Wed, 07 Sep 2016 20:24:35 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,617,"$75,000 through $99,999",Married,617,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1977,"Fri, 07 Sep 2018 10:35:19 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1810,"$75,000 through $99,999",Married,1810,Link from education site,White/European origin,United States,PRE
1977,"Sat, 17 Sep 2016 06:08:57 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,706,"$50,000 through $74,999",Single,706,Facebook post,White/European origin,United States,PRE
1977,"Tue, 20 Sep 2016 14:33:12 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,756,"$100,000 through $149,999",Married,756,News story,White/European origin,United States,PRE
1977,"Sun, 23 Sep 2018 14:40:01 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1849,"$75,000 through $99,999",Married,1849,Link from education site,White/European origin,United States,PRE
1977,"Mon, 25 Sep 2017 23:39:38 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Male,1365,"$35,000 through $49,999",Divorced,1365,Facebook post,White/European origin,United States,PRE
1978,"Thu, 12 Apr 2018 10:11:17 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1638,"$200,000 through $249,999",Married,1638,Facebook post,White/European origin,United States,PRE
1978,"Mon, 26 Dec 2016 00:41:48 -0500",Some College,Working full-time,Unknown,Male,1057,"$5,000 through $11,999",Married,1057,Other,South Asian,India,PRE
1978,"Fri, 30 Dec 2016 10:28:10 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1059,"$100,000 through $149,999",Divorced,1059,News story,White/European origin,United States,PRE
1978,"Sat, 06 Jan 2018 13:14:30 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1475,"$35,000 through $49,999",Single,1475,Facebook post,Black/African origin,United States,PRE
1978,"Wed, 05 Jul 2017 09:28:37 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,1246,"$50,000 through $74,999","Single, but casually dating",1246,"Recommendation of friend, family , acquaintance, or colleague",Black/African origin,United States,PRE
1978,"Thu, 06 Jul 2017 04:51:06 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Male,1248,Prefer not to answer,In a domestic or civil union,1248,Planned search for information related to this topic,White/European origin,Germany,PRE
1978,"Mon, 10 Jul 2017 22:29:32 -0500",Some Graduate School,Working part-time,Not Hispanic or Latino,Female,1252,"$25,000 through $34,999",Married,1252,Other,White/European origin,United States,PRE
1978,"Fri, 01 Jun 2018 12:42:17 -0500",J.D.,Working full-time,Not Hispanic or Latino,Female,1691,"$35,000 through $49,999",Married,1691,Planned search for information related to this topic,White/European origin,United States,PRE
1978,"Mon, 13 Jun 2016 03:13:41 -0500",????,????,??????????,?,430,"$ 50,000??$ 74,999",??,430,??????????????,?/????,United States,PRE
1978,"Wed, 15 Jun 2016 16:13:57 -0500",Bachelor's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,444,"$35,000 through $49,999",Single,444,Just surfing the web,White/European origin,United States,PRE
1978,"Sat, 16 Jun 2018 13:39:32 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1705,"$150,000 through $199,999","Single, but currently living with someone in a marriage-like relationship",1705,Link from education site,White/European origin,Canada,PRE
1978,"Mon, 19 Jun 2017 13:06:26 -0500",High School Graduate,Working full-time,Hispanic or Latino,Male,1237,"$16,000 through $24,999","Single, but casually dating",1237,"Link from blog, chat, or discussion thread",White/European origin,Mexico,PRE
1978,"Fri, 24 Jun 2016 23:15:42 -0500",Associate's Degree,Working part-time,Prefer not to answer,Female,467,"$25,000 through $34,999",Married,467,Just surfing the web,Prefer not to answer,United States,PRE
1978,"Wed, 30 May 2018 18:35:33 -0500",Master's Degree,Working full-time,Prefer not to answer,Transgender,1689,Prefer not to answer,Divorced,1689,"Link from blog, chat, or discussion thread",Prefer not to answer,United States,PRE
1978,"Fri, 16 Sep 2016 09:16:11 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,654,"$100,000 through $149,999",Married,654,News story,White/European origin,United States,PRE
1978,"Fri, 16 Sep 2016 20:09:15 -0500",Bachelor's Degree,Working full-time,Prefer not to answer,Female,696,"$35,000 through $49,999",Single,696,Link from education site,Prefer not to answer,United States,PRE
1978,"Mon, 26 Sep 2016 04:19:18 -0500",Bachelor's Degree,Working full-time,Prefer not to answer,Male,796,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",796,Link from education site,White/European origin,United Kingdom,PRE
1978,"Tue, 27 Sep 2016 14:31:12 -0500",Some College,Other,Not Hispanic or Latino,Male,806,"$35,000 through $49,999",Single,806,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1979,"Sun, 08 Apr 2018 19:06:23 -0500",High School Graduate,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1629,"$35,000 through $49,999",Married,1629,Just surfing the web,White/European origin,United States,PRE
1979,"Sun, 30 Apr 2017 13:30:09 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,1192,"$25,000 through $34,999",Divorced,1192,Link from education site,White/European origin,United States,PRE
1979,"Sun, 27 Aug 2017 07:16:03 -0500",Junior High,Unemployed or laid off,Not Hispanic or Latino,Female,1331,"Less than $5,000",Single,1331,Just surfing the web,White/European origin,United States,PRE
1979,"Tue, 14 Feb 2017 10:44:27 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1109,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",1109,Other,White/European origin,United States,PRE
1979,"Mon, 23 Jan 2017 14:17:27 -0500",Some College,Other,Not Hispanic or Latino,Female,1077,"$5,000 through $11,999",Divorced,1077,Other,White/European origin,United States,PRE
1979,"Tue, 23 Jan 2018 12:17:31 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1496,"$100,000 through $149,999",Married,1496,Link from education site,White/European origin,United States,PRE
1979,"Sun, 29 Jan 2017 22:50:01 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1087,"$50,000 through $74,999",Married,1087,Facebook post,White/European origin,Canada,PRE
1979,"Wed, 12 Jul 2017 09:39:24 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1259,"$35,000 through $49,999",Married,1259,Other,White/European origin,United States,PRE
1979,"Sat, 16 Jul 2016 14:38:37 -0500",Some College,Looking for work,Not Hispanic or Latino,Female,517,Prefer not to answer,Divorced,517,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1979,"Mon, 18 Jul 2016 14:01:27 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,518,"$75,000 through $99,999",Married,518,Just surfing the web,White/European origin,United States,PRE
1979,"Thu, 28 Jul 2016 13:43:36 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,526,"$75,000 through $99,999",Married,526,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,Brazil,PRE
